2	34	11	41	26
6	23	19	43	13
21	57	26	22	30
26	36	40	7	12
31	22	55	26	54
55	54	48	23	3
9	59	31	56	19
6	39	8	30	48
58	18	48	13	36
10	57	31	12	56
40	1	52	36	53
39	29	4	8	7
35	8	12	1	6
23	46	11	26	55
43	48	7	37	52
29	53	52	17	31
43	17	14	13	54
44	53	7	21	3
38	9	32	28	5
46	52	37	10	40
45	10	6	23	41
56	13	8	41	3
48	20	14	34	3
41	31	39	2	5
25	3	32	17	19
58	16	15	46	50
12	43	27	25	23
58	36	16	6	5
36	38	5	27	41
41	33	16	40	11
47	16	14	32	52
22	49	41	26	3
24	43	11	12	45
29	8	28	34	38
51	21	32	28	9
47	21	23	14	10
11	20	13	27	59
30	49	54	26	51
20	18	53	28	35
55	52	46	50	36
54	43	13	11	23
18	44	35	39	1
23	20	5	30	8
40	23	44	55	15
36	25	44	8	10
23	40	53	26	7
27	19	38	13	17
46	10	3	19	36
5	23	16	22	29
22	32	37	44	50
24	30	8	18	39
15	59	27	58	3
44	10	58	8	30
55	32	50	54	42
32	45	34	52	58
54	4	7	9	30
45	31	1	48	27
34	56	36	32	22
18	50	23	3	21
4	28	31	44	21
42	23	10	7	1
5	2	26	25	49
35	18	43	29	26
36	59	26	15	34
55	23	17	59	36
57	14	29	18	28
41	26	42	13	39
40	42	18	16	2
50	1	8	39	5
43	26	3	20	48
48	56	24	36	33
34	44	20	48	6
42	4	26	51	19
8	44	21	11	49
49	54	28	25	56
7	20	6	1	49
47	31	22	29	55
55	41	26	14	59
56	27	46	6	51
51	13	46	39	4
7	15	3	11	28
55	30	53	48	19
58	3	56	48	16
6	50	5	36	13
14	3	46	38	35
9	54	38	56	31
5	2	57	23	20
4	46	16	37	32
5	36	49	55	22
5	3	29	59	39
35	19	14	39	56
20	7	15	41	44
58	34	6	46	40
44	1	53	3	41
17	11	29	56	57
14	16	27	15	8
14	57	33	10	7
56	45	57	22	18
59	48	19	33	30
17	45	10	29	9
10	56	9	24	52
49	59	13	41	14
59	7	53	26	4
46	13	8	51	35
21	43	28	3	7
35	24	58	53	10
56	7	1	11	55
12	59	44	20	9
7	33	50	38	8
57	40	58	31	39
29	43	25	4	34
8	42	51	20	6
22	39	49	46	20
15	16	19	14	24
44	42	16	47	23
13	30	5	20	17
33	24	49	45	1
14	5	58	54	36
50	58	16	29	11
15	37	35	1	47
32	43	53	55	56
11	55	58	14	49
1	8	59	46	41
5	41	20	14	17
45	35	47	46	12
47	30	29	49	45
26	1	11	4	23
54	11	6	42	53
17	39	16	7	51
23	50	28	59	56
12	11	32	56	52
37	52	10	1	57
38	51	17	28	39
23	56	43	45	15
8	13	59	17	34
41	54	59	33	5
28	19	29	47	4
